business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes/BusinessAcceptsCreditCards,attributes/WheelchairAccessible,attributes/ByAppointmentOnly,attributes/RestaurantsPriceRange2,attributes/BusinessParking,attributes/AcceptsInsurance,attributes/BikeParking,categories,hours/Monday,hours/Tuesday,hours/Wednesday,hours/Thursday,hours/Friday,hours/Saturday,hours/Sunday,,attributes/DogsAllowed,attributes/WiFi,attributes,hours,attributes/GoodForKids,attributes/RestaurantsReservations,attributes/Caters,attributes/HasTV,attributes/Alcohol,attributes/RestaurantsAttire,attributes/RestaurantsTakeOut,attributes/RestaurantsTableService,attributes/Ambience,attributes/RestaurantsGoodForGroups,attributes/GoodForMeal,attributes/HappyHour,attributes/OutdoorSeating,attributes/RestaurantsDelivery,attributes/BusinessAcceptsBitcoin,attributes/NoiseLevel
9U1Igcpe954LoWZRmNc-zg,Hand & Stone Massage And Facial Spa,"1100 S Columbus Blvd, Ste 24",Philadelphia,PA,19147,39.932756,-75.144504,3,32,1,True,True,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",False,True,"Day Spas, Beauty & Spas, Skin Care, Massage",9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-20:0,10:0-20:0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150331,,,,,,,,,,,,,,,,,,,,
GeEveoOaU2YKD7jJtEfA_g,DeVons Jewelers,"13981 S Virginia St, 402A",Reno,NV,89511,39.4045516,-119.7509859,5,34,1,True,,False,3,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,True,"Shopping, Watches, Jewelry",10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,11:0-18:0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150332,,,,,,,,,,,,,,,,,,,,
qQ7FHvkGEMqoPKKXPk4gjA,La Quinta by Wyndham NW Tucson Marana,6020 West Hospitality Rd,Tucson,AZ,85743,32.3585874,-111.093308,2.5,67,1,True,,,2,,,,"Hotels & Travel, Hotels, Event Planning & Services",0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,,True,u'free',,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150333,,,,,,,,,,,,,,,,,,,,
t_SGoRT5yt14OWr64TOulA,Sherwood Park Kwik Lube,979 Fir St,Sherwood Park,AB,T8A 4N5,53.5132154,-113.3286803,5,5,1,,,,,,,,"Oil Change Stations, Automotive, Auto Repair",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150334,,,,,,,,,,,,,,,,,,,,
LTeBejee7jIpaYWWll-Ubw,Town & Country Dental Care,"2821 N Ballas Rd, Ste 163",Saint Louis,MO,63131,38.6319095,-90.4442686,4.5,7,1,True,,True,,,True,,"Pediatric Dentists, Dentists, General Dentistry, Health & Medical, Cosmetic Dentists, Endodontists",12:0-18:0,12:0-18:0,8:0-14:0,8:0-14:0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150335,,,,,,,,,,,,,,,,,,,,
